"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Metal Rentals - RHODIUM","*","Buy","%customer_code_eur%","00007","RH","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KL5E","8370","8494","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Metal Rentals - OSMIUM","*","Buy","%customer_code_eur%","00007","OS","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KL5E","8370","8496","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Metal Rentals - IRIDIUM","*","Buy","%customer_code_eur%","00007","IR","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KL5E","8370","8493","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Metal Rentals - PALLADIUM","*","Buy","%customer_code_eur%","00007","PD","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KL5E","8370","8492","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Metal Rentals - PLATINUM","*","Buy","%customer_code_eur%","00007","PT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KL5E","8370","8491","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Shipping Charges","*","Buy","%customer_code_eur%","00007","CHARGE","~","~","~","~","~","~","~","~","~","~","~","~","~","~","TRAE","4003","~","~","410","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TE","3111","311","3111","338","~","~","TVRE","3000","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Metal Rentals - RUTHENIUM","*","Buy","%customer_code_eur%","00007","RU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KL5E","8370","8495","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Transportation;Shipping Freight","*","Buy","%customer_code_eur%","00007","FREIGHT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KG2E","6501","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TE","3111","311","3111","338","~","~","TVRE","3000","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Transfer Charge","*","Buy","%customer_code_eur%","00007","CHARGE","~","~","~","~","~","~","~","~","~","~","~","~","~","~","TRAD","4005","~","~","410","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TE","3111","311","3111","338","~","~","TVRE","3000","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Metal Rentals - SILVER","*","Buy","%customer_code_eur%","00007","AG","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KL5E","8370","8488","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Metal Rentals - GOLD","*","Buy","%customer_code_eur%","00007","AU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KL5E","8370","8497","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","GBP","GBP;EUR;USD;ZAR","*","Metal Rentals - IRIDIUM","*","Buy","%customer_code_gbp%","00005","IR","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KL5","8370","8483","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","GBP","GBP;EUR;USD;ZAR","*","Metal Rentals - RUTHENIUM","*","Buy","%customer_code_gbp%","00005","RU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KL5","8370","8485","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","GBP","GBP;EUR;USD;ZAR","*","Metal Rentals - GOLD","*","Buy","%customer_code_gbp%","00005","AU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KL5","8370","8487","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","GL","XPD","EUR","GBP;EUR;USD;ZAR","*","*","*","*","%customer_code_eur%","00007","PD","TRAE","~","4102","~","4102","4101","~","4151","4151","2101","4141","4141","~","~","BSEU","1274","2074","1144","04","04","01","02","03","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","GBP","GBP;EUR;USD;ZAR","*","Transportation;Shipping Freight","*","Buy","%customer_code_gbp%","00005","FREIGHT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KG2","6501","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","T","3111","311","3111","338","~","~","TVR","3000","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","USD","GBP;EUR;USD;ZAR","UK Nickel","*","B","Sell","%customer_code_usd%","00006","NI","~","~","~","~","~","~","~","4151","4151","~","4141","4141","~","~","BSUS","1293","2079","1149","04","04","01","02","03","~","~","KL5D","8849","872","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TD","3122","311","3122","338","~","~","TVRD","3000","~","~","~","~","1182","20","~","~","~","005","2151","2152","2155","~","~"
